Post Date,Trans Amt,Memo,Other Party
2026-02-04,1250.00,INV-1001 ACME ROBOTICS INC,Acme Robotics Inc
2026-02-09,79.00,INV-1101 Blue Harbor Supplies,Blue Harbor Supplies
2026-02-09,78.99,INV-1102 Blue Harbor Supplies,Blue Harbor Supplies
2026-02-14,9950.00,INV-1151 Continental Freight Ltd,Continental Freight Ltd
2026-02-14,9949.99,INV-1152 Continental Freight Ltd,Continental Freight Ltd
2026-02-06,2345.67,INV-1301 Delta Machining Co,Delta Machining Co
2026-02-07,2345.67,INV-1302 Delta Machining Co,Delta Machining Co
2026-02-07,675.50,Payment INV-1410 Golden Gate Textiles,Golden Gate Textiles
2026-02-10,980.25,Logistics Point Harbor - Invoice Payment,LOGISTICS HARBOR POINT
2026-02-11,4500.00,IBM CORP PYMT INV1421,IBM CORP
2026-02-13,312.40,,ONLINE TRANSFER
2026-02-15,150.00,REFUND - RETURNED GOODS,Amazon Business
2026-02-21,860.00,Lighthouse Media Group payment,Lighthouse Media Group
2026-02-24,500.00,INV-1801 partial payment,Meridian Steel Works
2026-02-25,600.00,INV-1851 payment 1 of 2,Meridian Steel Works
2026-02-26,600.00,INV-1851 payment 2 of 2,Meridian Steel Works
2026-02-27,750.00,INV-1901 Nightingale Health Partners,Nightingale Health Partners
2026-02-27,750.00,INV-1902 Oakridge Diagnostics,Oakridge Diagnostics
2026-02-03,322.60,INV-5000 Cedarwood Property Services,Cedarwood Property Services
2026-02-07,2086.58,INV-5001 Amber Fields Distribution,Amber Fields Distribution
2026-02-03,6122.62,INV-5002 Nova Terra Energy,Nova Terra Energy
2026-02-02,5355.39,INV-5003 Ironclad Fabrication,Ironclad Fabrication
2026-01-31,933.89,INV-5004 Pinecrest Logistics,Pinecrest Logistics
2026-02-16,5457.97,INV-5005 Cobalt Ridge Consulting,Cobalt Ridge Consulting
2026-02-06,6472.58,INV-5006 Ironclad Fabrication,Ironclad Fabrication
2026-02-17,3833.73,INV-5007 Nova Terra Energy,Nova Terra Energy
2026-02-18,2575.90,INV-5008 Cascade Valley Foods,Cascade Valley Foods
2026-02-24,7271.79,INV-5009 Pinecrest Logistics,Pinecrest Logistics
2026-02-04,192.31,WIRE TRANSFER - MISC,Unknown Sender
2026-02-12,309.79,BANK FEE ADJUSTMENT,First National Bank
