invoice_number,vendor_name,invoice_date,due_date,amount,description
INV-1001,Acme Robotics Inc,2026-01-05,2026-02-04,1250.00,Consulting services - January 2026 (INV-1001)
INV-1101,Blue Harbor Supplies,2026-01-10,2026-02-09,80.00,Office supplies order (INV-1101)
INV-1102,Blue Harbor Supplies,2026-01-10,2026-02-09,80.00,Office supplies order (INV-1102)
INV-1151,Continental Freight Ltd,2026-01-15,2026-02-14,10000.00,Freight services Q1 contract (INV-1151)
INV-1152,Continental Freight Ltd,2026-01-15,2026-02-14,10000.00,Freight services Q1 contract (INV-1152)
INV-1301,Delta Machining Co,2026-01-02,2026-02-01,2345.67,CNC machining parts order (INV-1301)
INV-1302,Delta Machining Co,2026-01-02,2026-02-01,2345.67,CNC machining parts order (INV-1302)
INV-1401,Golden Gate Textiles,2026-01-08,2026-02-07,675.50,Fabric shipment (INV-1401)
INV-1411,Harbor Point Logistics,2026-01-11,2026-02-10,980.25,Freight forwarding services (INV-1411)
INV-1421,International Business Machines Corp,2026-01-12,2026-02-11,4500.00,Server hardware maintenance (INV-1421)
INV-1431,Juniper Creek Analytics,2026-01-14,2026-02-13,312.40,Data analytics subscription (INV-1431)
INV-1501,Kingsley & Vance LLP,2026-01-20,2026-02-19,2200.00,Legal retainer (INV-1501)
INV-1701,Lighthouse Media Group,2026-01-22,2026-02-21,860.00,Ad campaign services - Phase 1 (INV-1701)
INV-1702,Lighthouse Media Group,2026-01-22,2026-02-21,860.00,Ad campaign services - Phase 2 (INV-1702)
INV-1801,Meridian Steel Works,2026-01-25,2026-02-24,1000.00,Structural steel order (INV-1801)
INV-1851,Meridian Steel Works,2026-01-26,2026-02-25,1200.00,Structural steel order (INV-1851)
INV-1901,Nightingale Health Partners,2026-01-28,2026-02-27,750.00,Medical equipment lease (INV-1901)
INV-1902,Oakridge Diagnostics,2026-01-28,2026-02-27,750.00,Medical equipment lease (INV-1902)
INV-5000,Cedarwood Property Services,2026-01-04,2026-02-03,322.60,Cedarwood Property Services services (INV-5000)
INV-5001,Amber Fields Distribution,2026-01-08,2026-02-07,2086.58,Amber Fields Distribution services (INV-5001)
INV-5002,Nova Terra Energy,2026-01-04,2026-02-03,6122.62,Nova Terra Energy services (INV-5002)
INV-5003,Ironclad Fabrication,2026-01-03,2026-02-02,5355.39,Ironclad Fabrication services (INV-5003)
INV-5004,Pinecrest Logistics,2026-01-01,2026-01-31,933.89,Pinecrest Logistics services (INV-5004)
INV-5005,Cobalt Ridge Consulting,2026-01-17,2026-02-16,5457.97,Cobalt Ridge Consulting services (INV-5005)
INV-5006,Ironclad Fabrication,2026-01-07,2026-02-06,6472.58,Ironclad Fabrication services (INV-5006)
INV-5007,Nova Terra Energy,2026-01-18,2026-02-17,3833.73,Nova Terra Energy services (INV-5007)
INV-5008,Cascade Valley Foods,2026-01-19,2026-02-18,2575.90,Cascade Valley Foods services (INV-5008)
INV-5009,Pinecrest Logistics,2026-01-25,2026-02-24,7271.79,Pinecrest Logistics services (INV-5009)
INV-5900,Nova Terra Energy,2026-01-14,2026-02-13,3128.23,Nova Terra Energy services (INV-5900)
INV-5901,Silverline Manufacturing,2026-01-07,2026-02-06,8619.20,Silverline Manufacturing services (INV-5901)
INV-5902,Vantage Point Security,2026-01-04,2026-02-03,925.44,Vantage Point Security services (INV-5902)
